TRKLEN,TRACK NAME,FROM_MEASURE,TO_MEASURE
398,K1,15966.34,16136
364,K1,76848,77148.3
903,K1,61130,61234.83
682,C2,1652.12,1692
237,C1,28780.24,28813
1219,C1,23710.39,24010
495,C2,47275,47726.52
151,C2,57141,57155.34
154,C1,61657,61883.04
750,C1,16308.63,17055
1374,C2,42369.04,42480
580,C1,55708.73,55775
820,E2,62180,63000
737,E1,18965,19702
464,K1,64062,64453.02
553,F1,32959.61,33402
1399,F1,27410,28041.01
1186,F2,48100,48535
697,F2,20385.87,21050
1132,F1,22243,23295
356,F1,46157,46188.86
1013,F1,14533,14664.76
843,F1,40581.11,40950
833,F1,51788.44,52077
405,F1,6617.55,6910
125,F1,30490,30494.52
726,F2,34149,34816.02
1382,F1,47981.5,48533
630,F1,21051,21685
224,F1,44641,44793.31
1500,F2,14467,14598
263,G1,39412,39675
910,G1,57250,58160
625,K1,78433,79058
168,K1,21718,21886
382,K2,28634,29016
547,K1,16483,17030
298,K1,19155,19453
797,K1,70088,70885
0,K1,14602.29,14694
247,K1,27026,27273
590,K2,17030,17620
264,K2,64260,64524
754,K2,56821,57575
185,K1,21246,21430
1000,E1,46200,47200
177,E2,52986,53154
701,E1,28699,29400
550,E1,58900,59450
60,E1,53161,53222
600,E1,42890,43490
241,F1,37040.97,37215
836,F1,50761.67,51250
863,F1,34011,34414.8
1132,F1,23309.4,23390
1399,F1,28061.56,28830
836,F1,50422,50768.84
300,F1,20385,20419.82
356,F1,46182.74,46500
1013,F1,14588.48,15470
726,F2,34820,34880
746,F1,42787,43268.73
293,F1,29822,30108.77
204,F1,8475,8532.87
553,F1,32850,32962.94
735,F1,26545.25,26780
1186,F2,47315,48066.17
697,F2,20385,20417.96
630,F1,21051,21685
224,F1,44779.49,44850
1500,F2,14588.48,15957
600,C2,6817,7417
894,C2,15415,16309
237,C2,34433,34670
91,C2,28813,28905
1138,D2,29560,30698
157,D2,38394,38551
215,D2,52759,52974
233,D2,801,1034
262,D2,10205,10467
351,D2,8925,9276
600,D2,31570,32170
600,D2,3352,3952
174,D2,41431,41605
1098,D2,54214,55312
115,D2,2359,2464
290,D2,11856,12146
269,D2,32511,32780
752,D2,44334,45086
306,D2,6789,7090
185,D2,375,563
190,D2,58745,58942
1058,D2,23942,25000
319,D2,12863,13182
398,D2,33802,34200
614,D2,47643,48257
158,D2,7469,7627
0,D2,60009,60858
91,D2,27196,27257
206,D2,3952,4158
59,A1,4435,4494
525,A1,14415,14940
700,A1,59950,60650
297,A1,81352,81649
1230,A1,72120,73350
185,A1,847,1032
1193,A2,83439,84632
568,A2,37301,37869
600,A2,25700,26300
600,A2,94180,94780
312,A1,24320,24632
904,A1,32466,33370
92,A2,7237,7329
705,A1,45265,45970
349,A1,3486,3835
424,A1,9076,9500
600,A2,0,300
126,A2,39507,39633
465,A2,55145,55610
368,A2,27965,28333
923,A2,8640,9563
670,A2,30879,31550
218,A1,1032,1250
153,E1,28486,28640
940,E2,39960,40900
1000,E1,29400,30400
525,E1,38325,38850
550,E2,37200,37750
928,E1,50264,51200
368,E1,11660,12028
276,E2,304,580
627,E2,56660,57300
407,E1,6240,6647
424,E1,5816,6240
550,E1,44400,44950
662,E1,60838,61500
988,E1,19702,20690
635,E1,38850,39485
104,E1,27549,27646
547,E1,51200,51747
600,E1,2689,3289
685,E1,27646,28331
600,E1,5216,5816
600,E2,14996,15580
828,E1,20690,21518
492,E1,21518,22010
101,E1,3486,3587
1512,E2,22685,24197
446,E1,54500,54946
521,G1,48056,48577
292,G1,40151,40443
198,G1,63887,64086
967,G1,38445,39412
778,G1,37667,38445
700,G1,58160,58860
447,G1,48577,49024
1159,G1,35760,36919
690,G2,51360,52050
476,G1,39675,40151
212,G1,62032,62240
536,G2,37909,38445
276,G1,47780,48056
201,G2,46442,46644
209,G2,54350,54559
430,G1,56820,57250
405,G2,44455,44860
664,G2,38445,39109
245,G1,47535,47780
533,G2,62896,63430
355,G2,47838,48193
232,G2,55640,55872
600,G1,33941,34541
654,G2,61152,61805
94,G1,64184,64292
151,G1,28267.96,28377
495,G2,56385,56880
583,G2,45860,46442
755,G1,52160,52915
211,G1,54770,54981
164,J1,67786,67950
1000,J2,62995,64000
730,J1,70940,71670
81,J2,53652,53733
995,J1,60000,60995
734,J2,79719,80453
919,J2,72280,73199
575,J1,69900,70475
50,J2,88189,88318
734,J1,79719,80453
143,J1,56757,56900
106,J2,88318,88402
734,J2,81187,81921
177,J1,68419,68596
840,J2,74890,75730
600,J1,68840,69440
83,J2,53733,53816
275,J1,57500,57775
840,J1,74890,75730
210,J2,87213,87423
82,J2,56650,56757
1349,K1,62031,63380
279,K2,28355,28634
600,K2,64524,65124
354,K2,21078,21432
191,K1,22909,23100
203,C2,62038,62236
211,C2,15020,15231
600,C2,59500,60100
232,C1,25002,25234
265,C2,18056,18321
362,C2,7417,7779
256,C2,46450,46706
359,C2,4651,5010
48,C2,14475,14523
579,C2,40511,41090
124,C2,2650,2768
217,C2,30216,30433
419,C2,60925,61344
300,C2,25149,25449
180,C2,27759,27939
252,C2,17552,17804
196,C1,30362,30558
171,C1,51935,52112
331,C1,15940,16271
150,C2,25449,25515.49
151,C1,57153,57166.87
548,C1,9436.5,9481
295,C1,18532.8,18586
959,C1,41501,42349.5
185,C1,56375,56441.55
320,C1,5823.91,5853
586,C1,38532.96,38723
1328,C1,49604.45,49777
682,C2,1007,1648.89
237,C1,28557,28760.31
444,C2,31617.72,31721
310,E2,1965,2275
590,E1,8600,9190
600,E1,17225,17825
584,E1,1116,1700
638,E2,60200,60838
600,E1,36215,36815
760,E1,57300,58060
565,E1,43835,44400
708,E1,6647,7355
750,E1,59450,60200
418,E2,41431,41850
494,E1,17825,18320
101,E1,4469,4569
209,E1,16655,16865
935,E1,36815,37750
410,E1,34150,34560
662,E1,49610,50264
645,E1,18320,18965
296,E1,3587,3883
312,E2,19390,19702
575,E1,37750,38325
600,E1,12487,13087
546,E2,9991,10537
96,E1,3289,3372
540,E1,13800,14340
638,E1,60200,60838
80,E2,2608,2689
310,E1,66984,67300
735,F1,26050,26550.29
300,F1,20385.87,20650
746,F1,43273.08,43540
1382,F1,47144,47973.5
833,F1,16970,17301.11
241,F1,36990,37057.38
293,F1,30159.95,30162
204,F1,8586.42,8733
863,F1,34418.18,34870
403,K2,15563,15966
131,K2,24650,24781
1111,K1,59132,60243
186,K2,26052,26238
0,K1,80355.19,80425.25
600,K1,24781,25381
435,K2,63265,63700
626,K2,38858,39485
679,K2,53405,54084
1275,K2,72465,73740
917,K1,74304,75221
682,K1,63380,64062
896,K2,35326,36222
51,K2,22258,22309
112,K1,23100,23212
146,K2,23389,23535
358,K2,75800,76158
900,K1,36219,37119
223,K1,26803,27026
520,K1,20223,20743
675,K2,54084,54759
503,K1,20743,21246
163,K2,23535,23698
600,K1,27755,28355
177,K1,40219,40396
94,K2,14661,14753
182,K2,25381,25563
943,K2,41504,42447
1219,C1,22790,23708.68
428,C1,58340.36,58595
750,C1,16271,16274.94
1374,C2,41090,42353.24
616,C1,53294,53550
178,C1,1652.12,1789
631,C1,47717.4,47896
316,C2,56435,56686
159,C2,6430.39,6600
275,C1,35293.09,35302
508,C1,31623.4,31721
348,C1,20519,20699.76
150,C2,25538.92,25634
151,C1,57155.34,57303
180,C1,13790.55,13875
959,C1,42369.41,42480
185,C1,56435,56555
159,C1,6430.39,6452.77
971,C1,40511,40895.75
450,C2,52930,53290.65
600,J1,87532,88132
210,J2,87003,87213
66,J2,68774,68840
225,J1,55900,56125
400,J2,56000,56400
290,J2,69910,70200
50,J1,88188,88318
800,J2,52850,53652
635,J1,54860,55495
610,J1,71670,72280
82,J2,56552,56650
1000,J1,64000,65000
1000,J2,62000,62995
716,J1,85579,86295
400,J2,66000,66400
734,J1,80453,81187
151,J1,50123,50274
734,J2,80453,81187
660,J1,59340,60000
414,J2,51610,52024
66,J1,68774,68840
178,J2,68596,68774
846,J1,74044,74890
57,J2,88132,88189
1005,J2,76570,76605.65
0,J2,50035.6,50133
990,J1,62000,62956.29
640,J1,78141.49,78228
1006,J1,76570,76594.09
1565,J1,51892.18,53162
900,K1,35326,35699.13
909,K1,47290.56,47400
112,K1,22046,22061.34
797,K1,69296,69301.22
932,N2,50280,51211
590,N2,70860,71450
462,N2,68513,68975
632,N2,87640,88272
